InputSize,Independent_ms,IfElse_ms
10000,88,69
20000,131,138
30000,190,206
40000,254,277
50000,319,346
60000,382,419
70000,448,488
80000,513,559
90000,577,629
100000,681,714
100000,666,698
120000,795,838
140000,900,982
160000,1032,1121
180000,1161,1265
200000,1292,1407
220000,1422,1549
240000,1551,1689
260000,1679,1831
280000,1809,1970
300000,1943,2160
300000,1946,2136
350000,2284,2509
400000,2628,2818
450000,2920,3261
500000,3235,3529
550000,3561,3880
600000,3885,4230
650000,4204,4581
700000,4528,4939
750000,5479,5530
800000,5231,5638
850000,5501,5998
900000,5829,6367
