InputSize,Partitions,AverageTime_ms,RandomKey
50000,2,0.000369396,872779008
50000,3,0.000250283,603132337
50000,4,0.000222023,1968391410
50000,5,0.000186235,1985264640
50000,6,0.000196735,546160110
50000,7,0.000166444,1457504388
50000,8,0.000177569,172852796
70000,2,0.000220435,648154352
70000,3,0.000241538,606800155
70000,4,0.00018859,1189818811
70000,5,0.000211706,1579595235
70000,6,0.000195633,1617689165
70000,7,0.000180975,1743132775
70000,8,0.000172071,1296601717
100000,2,0.000233217,1459640112
100000,3,0.000253206,1622030790
100000,4,0.000232735,1408533403
100000,5,0.000240369,144899981
100000,6,0.000195148,1897665648
100000,7,0.000196656,1540463080
100000,8,0.000214175,1970718121
